id	mse	pear	spear	mseprom	msegene	mseenh	msevar	mse1obs	mse1imp	match1	catch1obs	catch1imp
C12M01	278.0674	0.6225	0.4203	3254.7117	331.1194	3657.2954	263806.0227	27781.8490	24480.4205	0.5384	0.7721	0.7226
C31M01	31.4890	0.4922	0.4037	221.9784	37.7388	345.7888	21719.3270	3084.8670	1984.7907	0.4336	0.7113	0.7008
C38M01	85.4462	0.5679	0.4755	688.9237	104.8062	1579.3596	48614.8136	8260.6526	6918.2650	0.5334	0.8726	0.7880
C12M02	524.8183	0.7141	0.3599	7561.4368	586.9768	3576.2107	30492380.9325	52451.5857	50938.1016	0.5581	0.7830	0.7093
C31M02	217.2480	0.6788	0.2732	4007.8961	310.1150	671.6777	125659908.3154	20941.0746	20941.5722	0.5069	0.7901	0.7111
C38M02	127.5955	0.6791	0.3467	2174.8253	179.8893	1210.4901	89055224.8819	12374.6225	12105.5222	0.5246	0.8204	0.6845
C06M16	118.1108	0.5728	0.1691	771.4446	161.0986	1721.2314	15731.1181	11741.2057	9679.1125	0.5283	0.8810	0.8398
C19M16	11.4345	0.3363	0.2174	169.3633	13.2256	68.2464	820.0586	1109.2125	961.9393	0.2946	0.4856	0.4388
C22M16	204.4865	0.5850	0.1514	2001.0264	295.3521	2126.9497	13710.2384	20374.4385	17228.6085	0.5155	0.7552	0.7408
C31M16	1400.7923	0.5681	0.2303	13186.4947	1915.8760	10396.6298	97500.2696	139949.8168	133021.1138	0.6329	0.9223	0.8547
C39M16	189.6520	0.3940	0.2202	1043.4093	233.0647	1177.2385	9435.7416	18921.7890	11256.9856	0.3982	0.6483	0.6310
C40M16	98.2750	0.4644	0.2651	569.6039	121.3098	1252.7331	15667.3697	9783.1729	8054.8028	0.4797	0.7963	0.7649
C51M16	75.1042	0.5501	0.1999	766.5354	104.4095	407.6788	4102.2037	7443.2053	6187.9349	0.4521	0.6888	0.6823
C05M17	1.2136	0.2974	0.2072	6.3677	1.5079	5.0534	121.6109	74.0030	54.4622	0.1904	0.3662	0.2915
C06M17	0.6191	0.3947	0.2642	1.7714	0.6654	2.4401	50.5510	22.8475	22.9766	0.2651	0.5108	0.4907
C19M17	0.5619	0.1399	0.2326	1.2029	0.5975	1.2344	18.4484	22.5787	11.0370	0.0852	0.1998	0.1753
C22M17	0.4850	0.2153	0.2376	1.2597	0.5289	1.2665	13.1017	16.7411	8.8770	0.1382	0.2925	0.2740
C28M17	0.3882	0.1836	0.2142	0.7565	0.3950	0.7999	9.7270	13.5442	7.7440	0.0975	0.2358	0.2141
C38M17	1.4435	0.1582	0.1710	6.2463	1.6318	7.7932	143.1484	92.9313	47.2295	0.1194	0.2957	0.1644
C39M17	0.3311	0.1064	0.2196	0.4976	0.3261	0.6813	8.0061	9.6657	5.4697	0.0355	0.1297	0.1132
C40M17	0.6438	0.2354	0.2671	1.8940	0.6636	1.2095	28.0599	34.2727	14.1056	0.1369	0.3040	0.2834
C51M17	1.7409	0.1628	0.1647	4.2724	1.6068	4.7440	78.0800	85.2644	43.5966	0.0956	0.2073	0.1748
