id	mse	pear	spear	mseprom	msegene	mseenh	msevar	mse1obs	mse1imp	match1	catch1obs	catch1imp
C12M01	235.2021	0.6615	0.3355	2743.6299	286.7566	3373.4609	232820.7399	23282.3486	20290.2675	0.4383	0.7809	0.5891
C31M01	27.9465	0.5045	0.3416	198.5687	34.5756	319.6154	25687.9906	2529.2410	1597.9534	0.3684	0.6796	0.6068
C38M01	68.6452	0.5960	0.3315	386.8832	82.6801	1626.2434	24760.1723	6425.6436	4050.7831	0.4274	0.7995	0.6892
C12M02	352.2977	0.7789	0.3369	5536.2788	392.4789	2831.1074	17552783.1316	34595.1495	34222.0547	0.5360	0.7588	0.6703
C31M02	190.1138	0.5443	0.3801	4513.7796	320.7099	434.6417	719599605.9771	18458.1694	18474.9248	0.5438	0.7814	0.7305
C38M02	140.4065	0.5329	0.4086	2776.9101	219.8417	1413.0764	360980350.0275	13214.5801	13508.6551	0.5595	0.8556	0.7189
C06M16	109.2233	0.5363	0.2806	701.8235	149.6438	1707.4122	18567.8940	10773.6924	8031.3892	0.4524	0.9149	0.7755
C19M16	12.8998	0.3372	0.2666	188.3913	15.6948	87.3143	927.6261	1013.4930	1131.6080	0.3588	0.6230	0.5109
C22M16	185.9652	0.5762	0.2495	1834.4637	272.4502	1948.5969	11892.9930	18396.5153	14994.8956	0.4920	0.8528	0.6914
C31M16	1334.4888	0.5219	0.2592	13486.5555	1869.3378	10371.1859	101350.6930	133171.6014	122809.5162	0.5817	0.9600	0.7732
C39M16	173.9850	0.4229	0.2757	979.2306	216.9802	1104.3944	8987.3530	17227.1397	12426.2521	0.4661	0.9195	0.7046
C40M16	89.4684	0.4402	0.2976	550.2311	112.8214	1150.5305	15023.7611	8781.4528	7600.1723	0.4959	0.9441	0.7803
C51M16	62.6420	0.5745	0.3083	642.3519	87.0551	359.5267	3058.3008	6119.1004	5301.3177	0.4875	0.8622	0.7357
C05M17	1.1432	0.3855	0.2939	5.5123	1.4275	4.6631	88.0972	56.0765	57.3980	0.2385	0.4135	0.3486
C06M17	0.4891	0.4558	0.2871	1.2002	0.5263	1.3443	17.6087	14.8250	12.6728	0.3006	0.5239	0.5250
C19M17	1.2643	0.1877	0.2552	4.1818	1.4374	5.1170	105.6091	18.6776	62.8209	0.1133	0.2245	0.2218
C22M17	0.5058	0.2768	0.2314	1.1420	0.5484	1.3326	17.2220	12.3831	11.9682	0.1878	0.3191	0.3503
C28M17	0.8921	0.1855	0.2378	3.1360	1.0122	3.3807	92.8603	14.3123	48.6259	0.1083	0.2319	0.2222
C38M17	1.1012	0.4272	0.2000	4.3212	1.2182	4.7853	87.0404	61.8515	49.2881	0.2601	0.3852	0.3699
C39M17	1.7260	0.1195	0.2607	5.6357	1.9785	7.3951	146.0467	9.8107	93.9810	0.0565	0.1757	0.1554
C40M17	1.0934	0.2377	0.2730	3.9630	1.2185	3.6203	94.6533	32.0237	52.4465	0.1704	0.3200	0.3189
C51M17	1.7270	0.2000	0.2042	4.2325	1.6349	4.8188	67.3698	72.2080	43.6549	0.1121	0.2413	0.1992
C05M18	0.7703	0.4855	0.3311	1.1908	1.2465	0.6674	15.8894	28.6844	18.8230	0.3139	0.7059	0.6321
C06M18	0.5768	0.5935	0.3341	0.7178	0.9384	0.5317	8.7248	21.4018	13.0021	0.3505	0.7936	0.7466
