id	mse	pear	spear	mseprom	msegene	mseenh	msevar	mse1obs	mse1imp	match1	catch1obs	catch1imp
C12M01	222.7172	0.6896	0.5027	2467.0568	272.3228	3416.1310	189646.1721	22033.1244	16333.9385	0.3852	0.6241	0.5561
C31M01	26.1491	0.5583	0.5434	152.7595	31.2226	325.4561	14549.4164	2394.4908	1256.6952	0.3488	0.5511	0.5624
C38M01	69.9394	0.6194	0.5943	379.4404	84.4913	1758.9344	23113.0243	6851.3977	4235.0994	0.4696	0.7083	0.7463
C12M02	390.9847	0.7591	0.4472	5940.6941	439.5197	3335.1910	5953234.2155	38427.0935	37712.3457	0.4513	0.7714	0.5737
C31M02	177.5766	0.6011	0.4752	4057.4431	291.3644	564.7306	628649449.3646	17151.8061	17149.4356	0.4611	0.7729	0.6195
C38M02	114.4085	0.6416	0.4483	2367.2594	178.0695	944.4538	307354839.5792	11072.8736	11079.3328	0.5828	0.8600	0.7576
C06M16	105.1301	0.5739	0.2570	662.5740	143.6375	1650.1206	17413.8066	10359.4364	8186.1840	0.4897	0.8301	0.7870
C19M16	13.2706	0.3651	0.2646	191.4965	16.6078	102.8304	1119.3487	1072.5562	1176.0476	0.3415	0.5161	0.4828
C22M16	187.7455	0.5748	0.2144	1854.5383	275.1957	1980.6629	11725.1015	18583.9397	15223.5377	0.4695	0.7503	0.6340
C31M16	1351.5947	0.5930	0.2678	13730.3265	1895.2719	10562.9751	102570.1024	135044.2184	129719.8345	0.6055	0.9392	0.8008
C39M16	173.3173	0.3873	0.2796	925.2164	214.9062	1101.2973	8318.5137	17101.9613	8715.3571	0.3926	0.6453	0.6252
C40M16	89.5715	0.4065	0.2982	523.2150	112.5230	1158.4932	14502.2567	8737.3138	6747.8755	0.4285	0.7627	0.6904
C51M16	62.3970	0.5578	0.2781	622.2487	86.0071	367.9180	2925.5492	6050.1886	4490.1898	0.4057	0.6369	0.6092
C05M17	0.9639	0.4360	0.2659	5.1351	1.2309	3.8549	85.3642	63.5678	50.3401	0.2741	0.4488	0.3984
C06M17	0.4334	0.4725	0.2910	0.9932	0.4638	1.0731	12.8827	14.8430	9.5779	0.3068	0.5340	0.5199
C19M17	0.5768	0.2139	0.2429	1.4098	0.6195	1.4877	27.2481	17.8960	15.3671	0.1277	0.2653	0.2474
C22M17	0.4605	0.3122	0.2594	1.0827	0.4973	1.1612	17.2193	12.6804	10.8339	0.2099	0.3459	0.3896
C28M17	0.4478	0.2097	0.2362	1.1928	0.4859	1.2695	26.8095	11.6105	14.9412	0.1225	0.2538	0.2457
C38M17	1.0365	0.4654	0.2234	4.3264	1.1560	4.7707	90.8652	64.6941	50.6513	0.2915	0.4232	0.4081
C39M17	0.4488	0.1122	0.2359	1.2919	0.4828	1.4257	32.8918	8.7546	17.4644	0.0490	0.1768	0.1385
C40M17	0.6758	0.2440	0.2360	2.2479	0.7334	1.5310	38.0520	30.9605	22.6862	0.1818	0.3374	0.3318
C51M17	1.4670	0.2404	0.2471	3.3442	1.3110	3.4924	45.1704	78.1852	26.4842	0.1228	0.2497	0.2240
C05M18	0.6535	0.4888	0.3430	1.0908	1.0394	0.5447	12.3949	33.9212	14.1174	0.3173	0.7152	0.6363
C06M18	0.5418	0.6039	0.3429	0.6724	0.8764	0.4911	7.4466	25.4448	10.1125	0.3626	0.7976	0.7598
C19M18	0.6265	0.5310	0.3684	1.2071	1.0008	0.4769	13.4864	30.2425	14.6305	0.3218	0.7582	0.6686
C28M18	0.8120	0.4946	0.3987	1.3548	1.3622	0.9108	14.3290	45.4169	15.5775	0.2408	0.6555	0.6021
C38M18	1.9024	0.5460	0.4066	3.8322	3.3659	1.4860	49.4656	137.7212	49.1484	0.2756	0.7503	0.7049
C39M18	0.5378	0.4153	0.3252	0.6169	0.7957	0.5469	43.7762	20.0850	12.5244	0.2114	0.5954	0.5025
C40M18	1.2759	0.5257	0.4288	2.9076	2.1878	1.1588	40.4418	92.5994	43.6424	0.3457	0.7755	0.7391
C51M18	1.1344	0.5830	0.3849	1.9350	1.9520	0.9680	22.3487	71.8933	25.8350	0.3319	0.7632	0.7451
C05M20	2.1068	0.1683	0.3208	25.0882	1.4007	9.8575	8.2763	167.7019	23.3945	0.1688	0.4272	0.3724
C07M20	1.2327	0.3036	0.2706	2.5921	1.4663	5.0895	125.3188	70.3516	28.6083	0.1628	0.4312	0.3878
C19M20	0.6909	0.2760	0.2664	1.3261	0.8726	2.5844	6.9593	28.7673	13.4041	0.1426	0.4255	0.3367
C38M20	1.3720	0.4758	0.2786	2.3882	1.6955	7.8607	26.0262	88.3567	39.2322	0.3256	0.7215	0.6250
C39M20	0.7673	0.3139	0.2989	1.4305	0.9277	3.3432	32.7388	36.2482	16.8265	0.1820	0.4745	0.3995
C40M20	6.0405	0.4702	0.4059	16.8417	7.5839	50.4329	113.2679	545.4573	294.5809	0.3419	0.7217	0.6678
C51M20	1.5795	0.3210	0.3163	2.7795	1.9401	4.3864	12.4109	100.4964	21.2207	0.1538	0.4247	0.4334
C19M22	791.0664	0.8667	0.1604	8426.0160	1393.6915	1960.7978	276354.7351	79015.9142	78726.0310	0.7890	0.9677	0.8485
C28M22	528.4291	0.8078	0.1457	5758.6441	897.0356	1732.3936	159224.4214	52769.4434	52247.4776	0.7807	0.9735	0.8693
C38M22	588.9664	0.8619	0.2018	6152.7803	1010.1294	1593.7169	145484.2286	58855.6444	58691.9847	0.8417	0.9864	0.9067
C39M22	865.1229	0.8044	0.1490	8769.1473	1461.6078	2722.0061	235320.9650	86410.1565	84862.3341	0.7392	0.9494	0.8280
C40M22	3632.8558	0.6929	0.1741	33407.7071	6308.8749	7337.0488	1042857.3705	363224.5944	362254.9727	0.7896	0.9572	0.8604
C05M29	0.3758	0.1728	0.2971	0.7589	0.3341	1.2745	12.2193	16.5732	6.6071	0.0647	0.1786	0.1929
C07M29	1.0999	0.1377	0.2527	0.3168	0.3310	0.6724	907.7903	87.0937	78.8022	0.1169	0.2876	0.2892
