id	mse	pear	spear	mseprom	msegene	mseenh	msevar	mse1obs	mse1imp	match1	catch1obs	catch1imp
C12M01	222.7172	0.6896	0.5027	2467.0568	272.3228	3416.1310	189646.1721	22033.1244	16333.9385	0.3852	0.6241	0.5561
C31M01	26.1491	0.5583	0.5434	152.7595	31.2226	325.4561	14549.4164	2394.4908	1256.6952	0.3488	0.5511	0.5624
C38M01	69.9394	0.6194	0.5943	379.4404	84.4913	1758.9344	23113.0243	6851.3977	4235.0994	0.4696	0.7083	0.7463
C12M02	385.3469	0.7593	0.4469	5829.0467	433.3701	3321.1529	5866597.5331	37840.7799	37203.6566	0.4557	0.7712	0.5776
C31M02	178.1197	0.5985	0.4759	4063.9120	292.0810	576.3688	629008129.1738	17196.5559	17204.6953	0.4606	0.7724	0.6178
C38M02	114.7362	0.6402	0.4477	2372.1111	178.3500	945.3801	307239199.2612	11106.3552	11111.9530	0.5830	0.8602	0.7589
C06M16	104.3198	0.5738	0.2690	654.7722	142.4150	1641.7178	17323.8595	10266.9225	8133.3286	0.4910	0.8302	0.7881
C19M16	12.7151	0.3635	0.2733	186.6430	15.7588	96.2109	1066.9050	1047.6170	1124.9182	0.3421	0.5168	0.4839
C22M16	186.5529	0.5756	0.2318	1841.7035	273.3535	1968.5287	11623.5667	18452.2613	15194.7340	0.4740	0.7549	0.6408
C31M16	1356.5158	0.5524	0.2666	13713.6159	1900.4027	10668.6398	102703.0222	135517.7084	124939.5434	0.5711	0.9199	0.7699
C39M16	174.3689	0.3867	0.2899	939.0931	216.4697	1107.1506	8420.3453	17236.3608	8808.0275	0.3934	0.6483	0.6287
C40M16	89.9965	0.4079	0.3109	528.0351	113.0828	1165.4982	14611.6684	8808.6310	6827.6577	0.4315	0.7694	0.6964
C51M16	61.7767	0.5603	0.2796	614.6928	85.0724	364.9200	2884.1826	5976.4294	4474.7143	0.4116	0.6449	0.6173
C05M17	0.9622	0.4373	0.2628	5.1372	1.2294	3.8520	85.2214	63.7534	50.1856	0.2733	0.4478	0.3972
C06M17	0.4311	0.4721	0.2860	0.9838	0.4606	1.0618	12.9010	14.9165	9.4372	0.3058	0.5336	0.5188
C19M17	0.5843	0.2144	0.2496	1.4575	0.6290	1.5443	28.7543	17.8216	16.1535	0.1282	0.2666	0.2484
C22M17	0.4576	0.3103	0.2509	1.0702	0.4937	1.1501	17.4304	12.7072	10.6817	0.2089	0.3450	0.3878
C28M17	0.4563	0.2102	0.2414	1.2407	0.4962	1.3251	28.3251	11.6015	15.7610	0.1227	0.2548	0.2461
C38M17	1.0310	0.4714	0.2256	4.2953	1.1490	4.7138	89.1894	64.5802	50.0522	0.2913	0.4236	0.4078
C39M17	0.4592	0.1118	0.2416	1.3537	0.4958	1.4969	34.7451	8.7319	18.4429	0.0492	0.1766	0.1392
C40M17	0.6817	0.2451	0.2427	2.2812	0.7406	1.5708	39.2207	30.8570	23.2890	0.1822	0.3389	0.3329
C51M17	1.4651	0.2388	0.2377	3.3363	1.3087	3.4873	45.3257	78.2882	26.3728	0.1222	0.2501	0.2222
C05M18	0.6554	0.4871	0.3401	1.0924	1.0425	0.5456	12.4798	33.8781	13.9505	0.3154	0.7143	0.6332
C06M18	0.5414	0.6040	0.3414	0.6719	0.8751	0.4912	7.4482	25.2859	10.1416	0.3633	0.7978	0.7603
C19M18	0.6280	0.5290	0.3681	1.2113	1.0033	0.4766	13.5463	30.5275	14.6527	0.3215	0.7554	0.6679
C28M18	0.8139	0.4925	0.3985	1.3579	1.3653	0.9119	14.3619	45.7070	15.5296	0.2411	0.6527	0.6030
C38M18	1.9038	0.5449	0.4055	3.8357	3.3683	1.4866	49.5834	137.7852	49.1168	0.2742	0.7500	0.7033
C39M18	0.5369	0.4131	0.3241	0.6160	0.7940	0.5461	43.7244	20.2343	12.4521	0.2115	0.5926	0.5032
C40M18	1.2793	0.5246	0.4290	2.9141	2.1936	1.1598	40.5575	92.9627	43.6862	0.3459	0.7740	0.7396
C51M18	1.1345	0.5811	0.3863	1.9307	1.9511	0.9661	22.3403	71.7378	25.7259	0.3300	0.7623	0.7424
C05M20	2.1001	0.1689	0.3220	25.0402	1.3905	9.8003	8.0323	167.7428	22.5545	0.1696	0.4273	0.3740
C07M20	1.2407	0.3019	0.2786	2.6461	1.4786	5.1748	125.5750	70.3019	29.3859	0.1628	0.4307	0.3881
C19M20	0.6950	0.2745	0.2688	1.3409	0.8787	2.6041	7.0244	28.7436	13.6967	0.1430	0.4233	0.3385
C38M20	1.3706	0.4775	0.2816	2.4102	1.6950	7.8735	26.2543	87.6753	39.5487	0.3270	0.7265	0.6277
C39M20	0.7702	0.3112	0.3003	1.4376	0.9326	3.3277	32.8044	36.3314	16.8687	0.1804	0.4718	0.3971
C40M20	6.0667	0.4618	0.4074	16.9017	7.6160	50.7926	114.1323	547.7139	289.1182	0.3362	0.7173	0.6608
C51M20	1.5744	0.3236	0.3188	2.7472	1.9327	4.3594	12.2653	100.4992	21.2616	0.1563	0.4270	0.4387
C19M22	786.5821	0.8657	0.1998	8376.5547	1385.8860	1948.5376	274810.2761	78561.2569	78276.3708	0.7881	0.9680	0.8475
C28M22	525.0406	0.8072	0.1821	5719.1829	891.2815	1722.2867	158109.3332	52424.0777	51902.3576	0.7794	0.9740	0.8677
C38M22	586.3387	0.8626	0.2043	6129.0681	1005.5215	1588.4930	144645.3659	58592.2584	58429.4858	0.8407	0.9862	0.9057
C39M22	860.7191	0.8044	0.1799	8721.6001	1454.1366	2707.5033	234109.9362	85963.3079	84428.1133	0.7388	0.9446	0.8269
C40M22	3625.2513	0.6927	0.2083	33331.3188	6295.6074	7320.2201	1040853.7853	362459.1213	361465.9030	0.7890	0.9563	0.8594
C05M29	0.3732	0.1739	0.2968	0.7559	0.3308	1.2720	11.8247	16.5457	6.4406	0.0647	0.1784	0.1928
C07M29	1.1009	0.1366	0.2491	0.3181	0.3321	0.6727	907.6842	87.0811	78.8243	0.1162	0.2858	0.2879
