Biosample,H3K4me1,H3K4me3,H3K36me3,H3K27me3,H3K9me3,H3K27ac,H3K9ac,H3K4me2,H2AFZ,H3K79me2,H4K20me1,H3F3A,H3K9me2
C001,ENCFF868QMF,ENCFF775REM,ENCFF162ZNV,ENCFF850SWF,ENCFF413TCD,ENCFF290SUR,---,---,---,---,---,---,---
C002,ENCFF729OPU,ENCFF042NAJ,ENCFF709LRN,ENCFF959XTO,---,ENCFF758AKY,---,---,ENCFF134NTQ,ENCFF792EYD,---,---,---
C003,---,ENCFF257ABI,---,---,---,ENCFF217WDY,---,---,---,---,---,---,---
C004,ENCFF053MKO,ENCFF613PTA,ENCFF754OJV,---,ENCFF996VYE,ENCFF058UYJ,---,---,---,---,---,---,---
C005,ENCFF657PBR,ENCFF234FAX,ENCFF163QQA,---,ENCFF259FCD,ENCFF174JZS,---,---,---,---,---,---,---
C006,ENCFF307RYU,ENCFF140IJR,ENCFF953OLT,---,ENCFF539ZDH,ENCFF573UBD,---,---,---,---,---,---,---
C007,---,ENCFF717SWN,ENCFF527MPO,ENCFF449CTO,ENCFF295BCO,ENCFF625WSL,---,---,---,---,---,---,---
C008,ENCFF867EID,---,---,ENCFF299WWM,---,---,---,---,---,ENCFF223FER,---,---,---
C009,---,---,ENCFF987AFA,---,---,---,ENCFF554PHA,---,---,---,---,---,---
C010,---,ENCFF166SNU,---,---,ENCFF252GXQ,---,---,---,---,---,---,---,---
C011,ENCFF265GEH,ENCFF044QEP,ENCFF548BTN,ENCFF479JHM,ENCFF341JNL,ENCFF354DDX,ENCFF850JAM,ENCFF153EAF,ENCFF365SRK,ENCFF283FCP,ENCFF400MAX,ENCFF730DOM,ENCFF396WUG
C012,ENCFF312HWK,---,---,ENCFF372CEI,ENCFF739LTS,ENCFF418BXV,---,---,---,---,---,---,---
C013,ENCFF719OCB,ENCFF664UHC,ENCFF884OOF,ENCFF912CSK,ENCFF231KDL,ENCFF535JCJ,---,---,---,---,---,---,---
C014,ENCFF588NTP,ENCFF722BYY,ENCFF422HDX,ENCFF607SXV,ENCFF708INU,ENCFF946SUV,---,---,---,---,---,---,---
C015,ENCFF744MLT,ENCFF237CYD,ENCFF931KWO,ENCFF131BTB,ENCFF039SJI,ENCFF317TTE,---,---,---,---,---,---,---
C016,ENCFF644RQI,ENCFF124JWH,ENCFF679EWA,ENCFF174FGS,ENCFF831ECH,ENCFF210RZO,---,---,---,---,---,---,---
C017,---,ENCFF483YMD,---,---,---,ENCFF727JCQ,---,---,---,---,---,---,---
C018,---,ENCFF301JVP,---,---,---,---,---,---,---,---,---,---,---
C019,ENCFF664ZJM,ENCFF272CCZ,ENCFF325MYD,ENCFF252TXI,ENCFF669DXC,ENCFF668HSF,---,ENCFF904XAP,ENCFF881DVD,ENCFF273BUK,ENCFF533ZGS,ENCFF357PSH,ENCFF325QNL
C020,---,ENCFF065UIB,---,---,---,---,---,---,---,---,---,---,---
C021,ENCFF905XIE,ENCFF123BLP,ENCFF869MYY,ENCFF736JHG,ENCFF871FLR,ENCFF854HSN,---,---,---,---,---,---,---
C022,ENCFF609ZCD,ENCFF807VTU,ENCFF239ARX,ENCFF421CIU,ENCFF609OQA,ENCFF929JBX,---,---,---,---,---,---,---
